AGE,B,CRIM,DIS,INDUS,LSTAT,NOX,PIRATIO,RM,TAX,ZN,RAD,CHAS,MEDV
32.2,396.9,0.03659,5.4007,4.86,6.72,0.426,19,6.302,281,25,4,0,24.8
46.7,390.64,0.03551,5.4007,4.86,7.51,0.426,19,6.167,281,25,4,0,22.9
48,396.9,0.05059,4.7794,4.49,9.62,0.449,18.5,6.389,247,0,3,0,23.9
56.1,392.3,0.05735,4.4377,4.49,6.53,0.449,18.5,6.63,247,0,3,0,26.6
45.1,395.99,0.05188,4.4272,4.49,12.86,0.449,18.5,6.015,247,0,3,0,22.5
56.8,395.15,0.07151,3.7476,4.49,8.44,0.449,18.5,6.121,247,0,3,0,22.2
86.3,396.9,0.0566,3.4217,3.41,5.5,0.489,17.8,7.007,270,0,2,0,23.6
63.1,396.06,0.05302,3.4145,3.41,5.7,0.489,17.8,7.079,270,0,2,0,28.7
66.1,392.18,0.04684,3.0923,3.41,8.81,0.489,17.8,6.417,270,0,2,0,22.6
73.9,393.55,0.03932,3.0921,3.41,8.2,0.489,17.8,6.405,270,0,2,0,22
53.6,395.01,0.04203,3.6659,15.04,8.16,0.464,18.2,6.442,270,28,4,0,22.9
28.9,396.33,0.02875,3.6659,15.04,6.21,0.464,18.2,6.211,270,28,4,0,25
77.3,396.9,0.04294,3.615,15.04,10.59,0.464,18.2,6.249,270,28,4,0,20.6
57.8,357.98,0.12204,3.4952,2.89,6.65,0.445,18,6.625,276,0,2,0,28.4
69.6,391.83,0.11504,3.4952,2.89,11.34,0.445,18,6.163,276,0,2,0,21.4
76,396.9,0.12083,3.4952,2.89,4.21,0.445,18,8.069,276,0,2,0,38.7
36.9,393.53,0.08187,3.4952,2.89,3.57,0.445,18,7.82,276,0,2,0,43.8
62.5,396.9,0.0686,3.4952,2.89,6.19,0.445,18,7.416,276,0,2,0,33.2
79.9,394.76,0.14866,2.7778,8.56,9.42,0.52,20.9,6.727,384,0,5,0,27.5
71.3,395.58,0.11432,2.8561,8.56,7.67,0.52,20.9,6.781,384,0,5,0,26.5
85.4,70.8,0.22876,2.7147,8.56,10.63,0.52,20.9,6.405,384,0,5,0,18.6
87.4,394.47,0.21161,2.7147,8.56,13.44,0.52,20.9,6.137,384,0,5,0,19.3
90,392.69,0.1396,2.421,8.56,12.33,0.52,20.9,6.167,384,0,5,0,20.1
96.7,394.05,0.13262,2.1069,8.56,16.47,0.52,20.9,5.851,384,0,5,0,19.5
91.9,395.67,0.1712,2.211,8.56,18.66,0.52,20.9,5.836,384,0,5,0,19.5
85.2,387.69,0.13117,2.1224,8.56,14.09,0.52,20.9,6.127,384,0,5,0,20.4
97.1,395.24,0.12802,2.4329,8.56,12.27,0.52,20.9,6.474,384,0,5,0,19.8
91.2,391.23,0.26363,2.5451,8.56,15.55,0.52,20.9,6.229,384,0,5,0,19.4
54.4,393.49,0.10793,2.7778,8.56,13,0.52,20.9,6.195,384,0,5,0,21.7
81.6,395.59,0.10084,2.6775,10.01,10.16,0.547,17.8,6.715,432,0,6,0,22.8
92.9,394.95,0.12329,2.3534,10.01,16.21,0.547,17.8,5.913,432,0,6,0,18.8
95.4,396.9,0.22212,2.548,10.01,17.09,0.547,17.8,6.092,432,0,6,0,18.7
84.2,388.74,0.14231,2.2565,10.01,10.45,0.547,17.8,6.254,432,0,6,0,18.5
88.2,344.91,0.17134,2.4631,10.01,15.76,0.547,17.8,5.928,432,0,6,0,18.3
72.5,393.3,0.13158,2.7301,10.01,12.04,0.547,17.8,6.176,432,0,6,0,21.2
82.6,394.51,0.15098,2.7474,10.01,10.3,0.547,17.8,6.021,432,0,6,0,19.2
73.1,338.63,0.13058,2.4775,10.01,15.37,0.547,17.8,5.872,432,0,6,0,20.4
65.2,391.5,0.14476,2.7592,10.01,13.61,0.547,17.8,5.731,432,0,6,0,19.3
69.7,389.15,0.06899,2.2577,25.65,14.37,0.581,19.1,5.87,188,0,2,0,22
84.1,377.67,0.07165,2.1974,25.65,14.27,0.581,19.1,6.004,188,0,2,0,20.3
92.9,378.09,0.09299,2.0869,25.65,17.93,0.581,19.1,5.961,188,0,2,0,20.5
97,370.31,0.15038,1.9444,25.65,25.41,0.581,19.1,5.856,188,0,2,0,17.3
95.8,379.38,0.09849,2.0063,25.65,17.58,0.581,19.1,5.879,188,0,2,0,18.8
88.4,385.02,0.16902,1.9929,25.65,14.81,0.581,19.1,5.986,188,0,2,0,21.4
95.6,359.29,0.38735,1.7572,25.65,27.26,0.581,19.1,5.613,188,0,2,0,15.7
96,392.11,0.25915,1.7883,21.89,17.19,0.624,21.2,5.693,437,0,4,0,16.2
98.8,396.9,0.32543,1.8125,21.89,15.39,0.624,21.2,6.431,437,0,4,0,18
94.7,396.9,0.88125,1.9799,21.89,18.34,0.624,21.2,5.637,437,0,4,0,14.3
98.9,395.04,0.34006,2.1185,21.89,12.6,0.624,21.2,6.458,437,0,4,0,19.2
97.7,396.9,1.19294,2.271,21.89,12.26,0.624,21.2,6.326,437,0,4,0,19.6
97.9,385.76,0.59005,2.3274,21.89,11.12,0.624,21.2,6.372,437,0,4,0,23
95.4,388.69,0.32982,2.4699,21.89,15.03,0.624,21.2,5.822,437,0,4,0,18.4
98.4,262.76,0.97617,2.346,21.89,17.31,0.624,21.2,5.757,437,0,4,0,15.6
98.2,394.67,0.55778,2.1107,21.89,16.96,0.624,21.2,6.335,437,0,4,0,18.1
93.5,378.25,0.32264,1.9669,21.89,16.9,0.624,21.2,5.942,437,0,4,0,17.4
98.4,394.08,0.35233,1.8498,21.89,14.59,0.624,21.2,6.454,437,0,4,0,17.1
98.2,392.04,0.2498,1.6686,21.89,21.32,0.624,21.2,5.857,437,0,4,0,13.3
97.9,396.9,0.54452,1.6687,21.89,18.46,0.624,21.2,6.151,437,0,4,0,17.8
93.6,388.08,0.2909,1.6119,21.89,24.16,0.624,21.2,6.174,437,0,4,0,14
100,396.9,1.62864,1.4394,21.89,34.41,0.624,21.2,5.019,437,0,4,0,14.4
100,396.9,3.32105,1.3216,19.58,26.82,0.871,14.7,5.403,403,0,5,1,13.4
100,396.9,4.0974,1.4118,19.58,26.42,0.871,14.7,5.468,403,0,5,0,15.6
97.8,396.9,2.77974,1.3459,19.58,29.29,0.871,14.7,4.903,403,0,5,0,11.8
100,172.91,2.37934,1.4191,19.58,27.8,0.871,14.7,6.13,403,0,5,0,13.8
100,169.27,2.15505,1.5166,19.58,16.65,0.871,14.7,5.628,403,0,5,0,15.6
95.7,391.71,2.36862,1.4608,19.58,29.53,0.871,14.7,4.926,403,0,5,0,14.6
93.8,356.99,2.33099,1.5296,19.58,28.32,0.871,14.7,5.186,403,0,5,0,17.8
94.9,351.85,2.73397,1.5257,19.58,21.45,0.871,14.7,5.597,403,0,5,0,15.4
97.3,372.8,1.6566,1.618,19.58,14.1,0.871,14.7,6.122,403,0,5,0,21.5
100,341.6,1.49632,1.5916,19.58,13.28,0.871,14.7,5.404,403,0,5,0,19.6
88,343.28,1.12658,1.6102,19.58,12.12,0.871,14.7,5.012,403,0,5,1,15.3
98.5,261.95,2.14918,1.6232,19.58,15.79,0.871,14.7,5.709,403,0,5,0,19.4
96,321.02,1.41385,1.7494,19.58,15.12,0.871,14.7,6.129,403,0,5,1,17
82.6,88.01,3.53501,1.7455,19.58,15.02,0.871,14.7,6.152,403,0,5,1,15.6
94,88.63,2.44668,1.7364,19.58,16.14,0.871,14.7,5.272,403,0,5,0,13.1
97.4,363.43,1.22358,1.8773,19.58,4.59,0.605,14.7,6.943,403,0,5,0,41.3
100,353.89,1.34284,1.7573,19.58,6.43,0.605,14.7,6.066,403,0,5,0,24.3
100,364.31,1.42502,1.7659,19.58,7.39,0.871,14.7,6.51,403,0,5,0,23.3
92.6,338.92,1.27346,1.7984,19.58,5.5,0.605,14.7,6.25,403,0,5,1,27
90.8,374.43,1.46336,1.9709,19.58,1.73,0.605,14.7,7.489,403,0,5,0,50
98.2,389.61,1.83377,2.0407,19.58,1.92,0.605,14.7,7.802,403,0,5,1,50
93.9,388.45,1.51902,2.162,19.58,3.32,0.605,14.7,8.375,403,0,5,1,50
91.8,395.11,2.24236,2.422,19.58,11.64,0.605,14.7,5.854,403,0,5,0,22.7
93,240.16,2.924,2.2834,19.58,9.81,0.605,14.7,6.101,403,0,5,0,25
96.2,369.3,2.01019,2.0459,19.58,3.7,0.605,14.7,7.929,403,0,5,0,50
79.2,227.61,1.80028,2.4259,19.58,12.14,0.605,14.7,5.877,403,0,5,0,23.8
96.1,297.09,2.3004,2.1,19.58,11.1,0.605,14.7,6.319,403,0,5,0,23.8
95.2,330.04,2.44953,2.2625,19.58,11.32,0.605,14.7,6.402,403,0,5,0,22.3
94.6,292.29,1.20742,2.4259,19.58,14.43,0.605,14.7,5.875,403,0,5,0,17.4
97.3,348.13,2.3139,2.3887,19.58,12.03,0.605,14.7,5.88,403,0,5,0,19.1
88.5,396.9,0.13914,2.5961,4.05,14.69,0.51,16.6,5.572,296,0,5,0,23.1
84.1,395.5,0.09178,2.6463,4.05,9.04,0.51,16.6,6.416,296,0,5,0,23.6
68.7,393.23,0.08447,2.7019,4.05,9.64,0.51,16.6,5.859,296,0,5,0,22.6
33.1,390.96,0.06664,3.1323,4.05,5.33,0.51,16.6,6.546,296,0,5,0,29.4
47.2,393.23,0.07022,3.5549,4.05,10.11,0.51,16.6,6.02,296,0,5,0,23.2
73.4,395.6,0.05425,3.3175,4.05,6.29,0.51,16.6,6.315,296,0,5,0,24.6
74.4,391.27,0.06642,2.9153,4.05,6.92,0.51,16.6,6.86,296,0,5,0,29.9
58.4,396.9,0.0578,2.829,2.46,5.04,0.488,17.8,6.98,193,0,3,0,37.2
83.3,395.56,0.06588,2.741,2.46,7.56,0.488,17.8,7.765,193,0,3,0,39.8
62.2,396.9,0.06888,2.5979,2.46,9.45,0.488,17.8,6.144,193,0,3,0,36.2
92.2,394.12,0.09103,2.7006,2.46,4.82,0.488,17.8,7.155,193,0,3,0,37.9
95.6,396.9,0.10008,2.847,2.46,5.68,0.488,17.8,6.563,193,0,3,0,32.5
89.8,391,0.08308,2.9879,2.46,13.98,0.488,17.8,5.604,193,0,3,0,26.4
68.8,387.11,0.06047,3.2797,2.46,13.15,0.488,17.8,6.153,193,0,3,0,29.6
53.6,392.63,0.05602,3.1992,2.46,4.45,0.488,17.8,7.831,193,0,3,0,50
41.1,393.87,0.07875,3.7886,3.44,6.68,0.437,15.2,6.782,398,45,5,0,32
29.1,382.84,0.12579,4.5667,3.44,4.56,0.437,15.2,6.556,398,45,5,0,29.8
38.9,396.9,0.0837,4.5667,3.44,5.39,0.437,15.2,7.185,398,45,5,0,34.9
21.5,377.68,0.09068,6.4798,3.44,5.1,0.437,15.2,6.951,398,45,5,0,37
30.8,389.71,0.06911,6.4798,3.44,4.69,0.437,15.2,6.739,398,45,5,0,30.5
26.3,390.49,0.08664,6.4798,3.44,2.87,0.437,15.2,7.178,398,45,5,0,36.4
9.9,393.37,0.02187,6.2196,2.93,5.03,0.401,15.6,6.8,265,60,1,0,31.1
18.8,376.7,0.01439,6.2196,2.93,4.38,0.401,15.6,6.604,265,60,1,0,29.1
32,394.23,0.01381,5.6484,0.46,2.97,0.422,14.4,7.875,255,80,4,0,50
34.1,396.9,0.04011,7.309,1.52,4.08,0.404,12.6,7.287,329,80,2,0,33.3
36.6,354.31,0.04666,7.309,1.52,8.61,0.404,12.6,7.107,329,80,2,0,30.3
38.3,392.2,0.03768,7.309,1.52,6.62,0.404,12.6,7.274,329,80,2,0,34.6
15.3,396.9,0.0315,7.6534,1.47,4.56,0.403,17,6.975,402,95,3,0,34.9
13.9,384.3,0.01778,7.6534,1.47,4.45,0.403,17,7.135,402,95,3,0,32.9
38.4,393.77,0.03445,6.27,2.03,7.43,0.415,14.7,6.162,348,82.5,2,0,24.1
15.7,395.38,0.02177,6.27,2.03,3.11,0.415,14.7,7.61,348,82.5,2,0,42.3
33.2,392.78,0.0351,5.118,2.68,3.81,0.4161,14.7,7.853,224,95,4,0,48.5
31.9,390.55,0.02009,5.118,2.68,2.88,0.4161,14.7,8.034,224,95,4,0,50
22.3,396.9,0.13642,3.9454,10.59,10.87,0.489,18.6,5.891,277,0,4,0,22.6
52.5,394.87,0.22969,4.3549,10.59,10.97,0.489,18.6,6.326,277,0,4,0,24.4
72.7,389.43,0.25199,4.3549,10.59,18.06,0.489,18.6,5.783,277,0,4,0,22.5
59.1,381.32,0.13587,4.2392,10.59,14.66,0.489,18.6,6.064,277,0,4,1,24.4
100,396.9,0.43571,3.875,10.59,23.09,0.489,18.6,5.344,277,0,4,1,20
92.1,393.25,0.17446,3.8771,10.59,17.27,0.489,18.6,5.96,277,0,4,1,21.7
88.6,395.24,0.37578,3.665,10.59,23.98,0.489,18.6,5.404,277,0,4,1,19.3
53.8,390.94,0.21719,3.6526,10.59,16.03,0.489,18.6,5.807,277,0,4,1,22.4
32.3,385.81,0.14052,3.9454,10.59,9.38,0.489,18.6,6.375,277,0,4,0,28.1
9.8,348.93,0.28955,3.5875,10.59,29.55,0.489,18.6,5.412,277,0,4,0,23.7
42.4,393.63,0.19802,3.9454,10.59,9.47,0.489,18.6,6.182,277,0,4,0,25
56,392.8,0.0456,3.1121,13.89,13.51,0.55,16.4,5.888,276,0,5,1,23.3
85.1,392.78,0.07013,3.4211,13.89,9.69,0.55,16.4,6.642,276,0,5,0,28.7
93.8,396.9,0.11069,2.8893,13.89,17.92,0.55,16.4,5.951,276,0,5,1,21.5
92.4,393.74,0.11425,3.3633,13.89,10.5,0.55,16.4,6.373,276,0,5,1,23
88.5,391.7,0.35809,2.8617,6.2,9.71,0.507,17.4,6.951,307,0,8,1,26.7
91.3,395.24,0.40771,3.048,6.2,21.46,0.507,17.4,6.164,307,0,8,1,21.7
77.7,390.39,0.62356,3.2721,6.2,9.93,0.507,17.4,6.879,307,0,8,1,27.5
80.8,396.9,0.6147,3.2721,6.2,7.6,0.507,17.4,6.618,307,0,8,0,30.1
78.3,385.05,0.31533,2.8944,6.2,4.14,0.504,17.4,8.266,307,0,8,0,44.8
83,382,0.52693,2.8944,6.2,4.63,0.504,17.4,8.725,307,0,8,0,50
86.5,387.38,0.38214,3.2157,6.2,3.13,0.504,17.4,8.04,307,0,8,0,37.6
79.9,372.08,0.41238,3.2157,6.2,6.36,0.504,17.4,7.163,307,0,8,0,31.6
17,377.51,0.29819,3.3751,6.2,3.92,0.504,17.4,7.686,307,0,8,0,46.7
21.4,380.34,0.44178,3.3751,6.2,3.76,0.504,17.4,6.552,307,0,8,0,31.5
68.1,378.35,0.537,3.6715,6.2,11.65,0.504,17.4,5.981,307,0,8,0,24.3
76.9,376.14,0.46296,3.6715,6.2,5.25,0.504,17.4,7.412,307,0,8,0,31.7
73.3,385.91,0.57529,3.8384,6.2,2.47,0.507,17.4,8.337,307,0,8,0,41.7
70.4,378.95,0.33147,3.6519,6.2,3.95,0.507,17.4,8.247,307,0,8,0,48.3
66.5,360.2,0.44791,3.6519,6.2,8.05,0.507,17.4,6.726,307,0,8,1,29
61.5,376.75,0.33045,3.6519,6.2,10.88,0.507,17.4,6.086,307,0,8,0,24
76.5,388.45,0.52058,4.148,6.2,9.54,0.507,17.4,6.631,307,0,8,1,25.1
71.6,390.07,0.51183,4.148,6.2,4.73,0.507,17.4,7.358,307,0,8,0,31.5
18.5,379.41,0.08244,6.1899,4.93,6.36,0.428,16.6,6.481,300,30,6,0,23.7
42.2,383.78,0.09252,6.1899,4.93,7.37,0.428,16.6,6.606,300,30,6,0,23.3
54.3,391.25,0.11329,6.3361,4.93,11.38,0.428,16.6,6.897,300,30,6,0,22
65.1,394.62,0.10612,6.3361,4.93,12.4,0.428,16.6,6.095,300,30,6,0,20.1
52.9,372.75,0.1029,7.0355,4.93,11.22,0.428,16.6,6.358,300,30,6,0,22.2
7.8,374.71,0.12757,7.0355,4.93,5.19,0.428,16.6,6.393,300,30,6,0,23.7
76.5,372.49,0.20608,7.9549,5.86,12.5,0.431,19.1,5.593,330,22,7,0,17.6
70.2,389.13,0.19133,7.9549,5.86,18.46,0.431,19.1,5.605,330,22,7,0,18.5
34.9,390.18,0.33983,8.0555,5.86,9.16,0.431,19.1,6.108,330,22,7,0,24.3
79.2,376.14,0.19657,8.0555,5.86,10.15,0.431,19.1,6.226,330,22,7,0,20.5
49.1,374.71,0.16439,7.8265,5.86,9.52,0.431,19.1,6.433,330,22,7,0,24.5
17.5,393.74,0.19073,7.8265,5.86,6.56,0.431,19.1,6.718,330,22,7,0,26.2
13,396.28,0.1403,7.3967,5.86,5.9,0.431,19.1,6.487,330,22,7,0,24.4
8.9,377.07,0.21409,7.3967,5.86,3.59,0.431,19.1,6.438,330,22,7,0,24.8
6.8,386.09,0.08221,8.9067,5.86,3.53,0.431,19.1,6.957,330,22,7,0,29.6
8.4,396.9,0.36894,8.9067,5.86,3.54,0.431,19.1,8.259,330,22,7,0,42.8
32,392.89,0.04819,9.2203,3.64,6.57,0.392,16.4,6.108,315,80,1,0,21.9
19.1,395.18,0.03548,9.2203,3.64,9.25,0.392,16.4,5.876,315,80,1,0,20.9
34.2,386.34,0.01538,6.3361,3.75,3.11,0.394,15.9,7.454,244,90,3,0,44
86.9,389.7,0.61154,1.801,3.97,5.12,0.647,13,8.704,264,20,5,0,50
100,383.29,0.66351,1.8946,3.97,7.79,0.647,13,7.333,264,20,5,0,36
100,391.93,0.65665,2.0107,3.97,6.9,0.647,13,6.842,264,20,5,0,30.1
81.8,392.8,0.54011,2.1121,3.97,9.59,0.647,13,7.203,264,20,5,0,33.8
89.4,388.37,0.53412,2.1398,3.97,7.26,0.647,13,7.52,264,20,5,0,43.1
91.5,386.86,0.52014,2.2885,3.97,5.91,0.647,13,8.398,264,20,5,0,48.8
94.5,393.42,0.82526,2.0788,3.97,11.25,0.647,13,7.327,264,20,5,0,31
91.6,387.89,0.55007,1.9301,3.97,8.1,0.647,13,7.206,264,20,5,0,36.5
62.8,392.4,0.76162,1.9865,3.97,10.45,0.647,13,5.56,264,20,5,0,22.8
84.6,384.07,0.7857,2.1329,3.97,14.79,0.647,13,7.014,264,20,5,0,30.7
67,384.54,0.57834,2.4216,3.97,7.44,0.575,13,8.297,264,20,5,0,50
52.6,390.3,0.5405,2.872,3.97,3.16,0.575,13,7.47,264,20,5,0,43.5
61.5,391.34,0.09065,3.9175,6.96,13.65,0.464,18.6,5.92,223,20,3,1,20.7
42.1,388.65,0.29916,4.429,6.96,13,0.464,18.6,5.856,223,20,3,0,21.1
16.3,396.9,0.16211,4.429,6.96,6.59,0.464,18.6,6.24,223,20,3,0,25.2
58.7,394.96,0.1146,3.9175,6.96,7.73,0.464,18.6,6.538,223,20,3,0,24.4
51.8,390.77,0.22188,4.3665,6.96,6.58,0.464,18.6,7.691,223,20,3,1,35.2
32.9,396.9,0.05644,4.0776,6.41,3.53,0.447,17.6,6.758,254,40,4,1,32.4
42.8,396.9,0.09604,4.2673,6.41,2.98,0.447,17.6,6.854,254,40,4,0,32
49,389.25,0.10469,4.7872,6.41,6.05,0.447,17.6,7.267,254,40,4,1,33.2
27.6,393.45,0.06127,4.8628,6.41,4.16,0.447,17.6,6.826,254,40,4,1,33.1
32.1,396.9,0.07978,4.1403,6.41,7.19,0.447,17.6,6.482,254,40,4,0,29.1
32.2,396.9,0.21038,4.1007,3.33,4.85,0.4429,14.9,6.812,216,20,5,0,35.1
64.5,387.31,0.03578,4.6947,3.33,3.76,0.4429,14.9,7.82,216,20,5,0,45.4
37.2,392.23,0.03705,5.2447,3.33,4.59,0.4429,14.9,6.968,216,20,5,0,35.4
49.7,377.07,0.06129,5.2119,3.33,3.01,0.4429,14.9,7.645,216,20,5,1,46
